#,From Zip,To Zip,Service Code,Service Description,Pickup Date / Time,Arrival Date / Time,Business Days in Transit,Arrival Day
31,43004,47702,1DA,UPS Next Day Air,2022-07-18  / 19:30 ,2022-07-19 / 10:30,1,TUE
31,43004,47702,1DP,UPS Next Day Air Saver,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
31,43004,47702,GND,UPS Ground,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
31,43004,47702,2DM,UPS 2nd Day Air A.M.,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
31,43004,47702,2DA,UPS 2nd Day Air,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
31,43004,47702,3DS,UPS 3 Day Select,2022-07-18  / 19:30 ,2022-07-21 / 23:00,3,THU
32,43004,47703,1DM,UPS Next Day Air Early,2022-07-18  / 19:30 ,2022-07-19 / 08:00,1,TUE
32,43004,47703,1DA,UPS Next Day Air,2022-07-18  / 19:30 ,2022-07-19 / 10:30,1,TUE
32,43004,47703,1DP,UPS Next Day Air Saver,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
32,43004,47703,GND,UPS Ground,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
32,43004,47703,2DM,UPS 2nd Day Air A.M.,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
32,43004,47703,2DA,UPS 2nd Day Air,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
32,43004,47703,3DS,UPS 3 Day Select,2022-07-18  / 19:30 ,2022-07-21 / 23:00,3,THU
33,43004,47704,1DM,UPS Next Day Air Early,2022-07-18  / 19:30 ,2022-07-19 / 08:00,1,TUE
33,43004,47704,1DA,UPS Next Day Air,2022-07-18  / 19:30 ,2022-07-19 / 10:30,1,TUE
33,43004,47704,1DP,UPS Next Day Air Saver,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
33,43004,47704,GND,UPS Ground,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
33,43004,47704,2DM,UPS 2nd Day Air A.M.,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
33,43004,47704,2DA,UPS 2nd Day Air,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
33,43004,47704,3DS,UPS 3 Day Select,2022-07-18  / 19:30 ,2022-07-21 / 23:00,3,THU
34,43004,47705,1DM,UPS Next Day Air Early,2022-07-18  / 19:30 ,2022-07-19 / 08:00,1,TUE
34,43004,47705,1DA,UPS Next Day Air,2022-07-18  / 19:30 ,2022-07-19 / 10:30,1,TUE
34,43004,47705,1DP,UPS Next Day Air Saver,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
34,43004,47705,GND,UPS Ground,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
34,43004,47705,2DM,UPS 2nd Day Air A.M.,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
34,43004,47705,2DA,UPS 2nd Day Air,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
34,43004,47705,3DS,UPS 3 Day Select,2022-07-18  / 19:30 ,2022-07-21 / 23:00,3,THU
35,43004,47706,1DM,UPS Next Day Air Early,2022-07-18  / 19:30 ,2022-07-19 / 08:00,1,TUE
